prefix	date	compname	medianame	devname	modelname	notes
001192	2004-06-15	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
001193	2004-06-15	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
001195	2004-06-15	D-Link Corporation	WiFi	Network Interface Card	NULL	NULL
0011BB	2004-06-30	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
0011D8	2004-07-24	ASUSTek Computer Inc.	WiFi	Network Interface Card	NULL	NULL
0011D9	2004-07-24	TiVo	NULL	Digital Video Recorder	NULL	NULL
0011F5	2004-07-24	ASKEY COMPUTER CORP.	WiFi	Network Interface Card	NULL	NULL
001200	2004-08-04	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
001201	2004-08-04	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
001217	2004-08-12	Cisco-Linksys, LLC	WiFi	Network Interface Card	NULL	NULL
001225	2004-08-19	ARRIS Group, Inc.	WiFi	Network Interface Card	NULL	NULL
00123B	2004-09-02	KeRo Systems ApS	NULL	SCADA Device	NULL	NULL
001243	2004-09-02	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
00125A	2004-09-12	Microsoft Corporation	NULL	Videogame System	NULL	NULL
00127C	2004-10-10	SWEGON AB	NULL	SCADA Device	NULL	NULL
00127F	2004-10-10	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
001280	2004-10-10	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
001288	2004-10-10	2Wire, Inc	WiFi	Network Interface Card	NULL	NULL
0012D9	2004-11-16	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
0012DA	2004-11-16	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
0012EA	2004-11-26	Trane	NULL	SCADA Device	NULL	NULL
0012F0	2004-11-26	Intel Corporate	WiFi	Network Interface Card	NULL	NULL
001310	2004-12-11	Cisco-Linksys, LLC	WiFi	Network Interface Card	NULL	NULL
001315	2004-12-15	SONY Computer Entertainment inc,	NULL	Videogame System	NULL	NULL
001319	2004-12-15	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
00131A	2004-12-15	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
001324	2005-01-23	Schneider Electric Ultra Terminal	NULL	SCADA Device	NULL	NULL
001345	2005-01-23	Eaton Corporation	NULL	SCADA Device	NULL	NULL
001346	2005-01-23	D-Link Corporation	WiFi	Network Interface Card	NULL	NULL
00135A	2005-01-23	Project T&E Limited	NULL	Videogame System	NULL	NULL
001360	2005-01-23	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
00137F	2005-02-06	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
001380	2005-02-06	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
0013C4	2005-02-19	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
0013F7	2005-03-10	SMC Networks, Inc.	WiFi	Network Interface Card	NULL	NULL
0013FA	2005-03-10	LifeSize Communications, Inc	NULL	Video Conferencing Device	NULL	NULL
001444	2005-04-07	Grundfos Holding	NULL	SCADA Device	NULL	NULL
001451	2005-04-07	Apple	WiFi	Wireless Access Point	NULL	NULL
00146C	2005-05-07	Netgear Inc.	WiFi	Network Interface Card	NULL	NULL
0014BF	2005-05-27	Cisco-Linksys LLC	WiFi	Network Interface Card	NULL	NULL
0014D2	2005-06-07	Kyuden Technosystems Corporation	NULL	SCADA Device	NULL	NULL
001546	2005-07-27	ITG Worldwide Sdn Bhd	NULL	SCADA Device	NULL	NULL
0015C1	2005-09-09	SONY Computer Entertainment inc,	NULL	Videogame System	NULL	NULL
0015E9	2005-09-23	D-Link Corporation	WiFi	Network Interface Card	NULL	NULL
00160F	2005-10-13	BADGER METER INC	NULL	SCADA Device	NULL	NULL
001615	2005-10-13	Nittan Company, Limited	NULL	SCADA Device	NULL	NULL
00163E	2005-10-29	Xensource, Inc.	Virtual	Virtual Computer	Xen	NULL
001656	2005-11-02	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
0016B6	2005-12-10	Cisco-Linksys	WiFi	Network Interface Card	NULL	NULL
0016CB	2005-12-15	Apple	WiFi	Network Interface Card	NULL	NULL
001707	2006-01-10	InGrid, Inc	NULL	Physical Access Device	NULL	The company InGrid, Inc. has changed their name to LifeShield in 2009-2010.
001722	2006-01-27	Hanazeder Electronic GmbH	NULL	SCADA Device	NULL	NULL
00173F	2006-02-03	Belkin Corporation	WiFi	Wireless Access Point	NULL	NULL
001742	2006-02-03	FUJITSU LIMITED	NULL	SCADA Device	NULL	NULL
00176B	2006-04-08	Kiyon, Inc.	NULL	SCADA Device	NULL	NULL
001774	2006-04-08	Elesta GmbH	NULL	SCADA Device	NULL	NULL
001788	2006-04-08	Philips Lighting BV	NULL	SCADA Device	NULL	NULL
00179A	2006-04-08	D-Link Corporation	WiFi	Network Interface Card	NULL	NULL
0017AB	2006-04-08	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
0017FA	2006-04-21	Microsoft Corporation	NULL	Videogame System	NULL	NULL
001839	2006-06-13	Cisco-Linksys LLC	WiFi	Wireless Access Point	NULL	NULL
00184D	2006-06-13	Netgear Inc.	WiFi	Wireless Access Point	NULL	NULL
001865	2006-06-13	Siemens Healthcare Diagnostics Manufacturing Ltd	NULL	SCADA Device	NULL	NULL
0018C7	2006-07-01	Real Time Automation	NULL	SCADA Device	NULL	NULL
0018CF	2006-07-01	Baldor Electric Company	NULL	SCADA Device	NULL	NULL
0018F8	2006-07-14	Cisco-Linksys LLC	WiFi	Wireless Access Point	NULL	NULL
00191D	2006-08-15	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
001928	2006-08-15	Siemens AG, Transportation Systems	NULL	SCADA Device	NULL	NULL
001985	2006-09-03	IT Watchdogs, Inc	NULL	SCADA Device	NULL	NULL
001997	2006-09-25	Soft Device Sdn Bhd	NULL	SCADA Device	NULL	NULL
0019C5	2006-09-25	SONY Computer Entertainment inc,	NULL	Videogame System	NULL	NULL
0019EE	2006-11-02	CARLO GAVAZZI CONTROLS SPA-Controls Division	NULL	SCADA Device	NULL	NULL
0019FD	2006-11-02	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
001A01	2006-11-02	Smiths Medical	NULL	SCADA Device	NULL	NULL
001A82	2006-11-29	PROBA Building Automation Co.,LTD	NULL	SCADA Device	NULL	NULL
001AAE	2006-12-12	Savant Systems LLC	NULL	SCADA Device	NULL	NULL
001AE9	2006-12-30	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
001B08	2007-01-11	Danfoss Drives A/S	NULL	SCADA Device	NULL	NULL
001B14	2007-01-16	Carex Lighting Equipment Factory	NULL	SCADA Device	NULL	NULL
001B63	2007-02-09	Apple	NULL	Smartphone	iPhone	NULL
001B65	2007-02-09	China Gridcom Co., Ltd	ITU-T G.hn	Network Access Device	NULL	NULL
001B7A	2007-02-20	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
001BAE	2007-04-09	Micro Control Systems, Inc	NULL	SCADA Device	NULL	NULL
001BC2	2007-04-09	Integrated Control Technology Limitied	NULL	SCADA Device	NULL	NULL
001BEA	2007-04-09	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
001C14	2007-04-09	VMware, Inc	Virtual	Virtual Computer	VMWare	NULL
001C30	2007-05-13	Mode Lighting (UK ) Ltd.	NULL	SCADA Device	NULL	NULL
001C42	2007-05-13	Parallels, Inc.	Virtual	Virtual Computer	Parallells	NULL
001C53	2007-05-13	Synergy Lighting Controls	NULL	SCADA Device	NULL	NULL
001C5C	2007-05-13	Integrated Medical Systems, Inc.	NULL	SCADA Device	NULL	NULL
001C8A	2007-05-13	Cirrascale Corporation	NULL	SCADA Device	NULL	NULL
001CBE	2007-06-16	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
001CCC	2007-06-16	Research In Motion Limited	NULL	Smartphone	Blackberry	NULL
001D35	2007-08-18	Viconics Electronics Inc.	NULL	SCADA Device	NULL	NULL
001DBC	2007-08-18	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
001DC8	2007-09-29	Navionics Research Inc., dba SCADAmetrics	NULL	SCADA Device	NULL	NULL
001DD8	2007-09-29	Microsoft Corporation	NULL	Videogame System	NULL	NULL
001DED	2007-09-29	Grid Net, Inc.	NULL	SCADA Device	NULL	NULL
001DFE	2007-09-29	Palm, Inc	Bluetooth, WiFi	Smartphone	Treo	NULL
001E35	2007-09-29	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
001E4B	2007-09-29	City Theatrical	NULL	SCADA Device	NULL	NULL
001E60	2007-10-04	Digital Lighting Systems, Inc	NULL	SCADA Device	NULL	NULL
001EA9	2007-12-31	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
001F25	2007-12-31	MBS GmbH	NULL	SCADA Device	NULL	NULL
001F32	2007-12-31	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
001FC5	2008-02-09	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
002000	1998-04-22	LEXMARK INTERNATIONAL, INC.	WiFi	Network Interface Card	NULL	NULL
002004	1998-04-22	YAMATAKE-HONEYWELL CO., LTD.	NULL	SCADA Device	NULL	NULL
002096	1998-04-22	Invensys	NULL	SCADA Device	NULL	NULL
0020A6	1998-04-22	Proxim Wireless	WiFi	Network Interface Card	NULL	NULL
0020D8	2000-09-08	Nortel Networks	WiFi	Network Interface Card	NULL	NULL
0020E0	1998-04-22	Actiontec Electronics, Inc.	WiFi	Network Interface Card	NULL	NULL
002147	2008-07-19	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
002199	2008-07-19	Vacon Plc	NULL	SCADA Device	NULL	NULL
0021BD	2008-07-19	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
0021E2	2008-07-19	Creative Electronic GmbH	NULL	SCADA Device	NULL	NULL
002248	2008-07-19	Microsoft Corporation	NULL	Videogame System	NULL	NULL
00224C	2008-07-19	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
002295	2008-07-19	SGM Technology for lighting spa	NULL	SCADA Device	NULL	NULL
0022AA	2008-07-19	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
0022D7	2008-07-19	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
002331	2009-06-23	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
002341	2009-06-23	Siemens AB, Infrastructure & Cities, Building Technologies Division, IC BT SSP SP BA PR	NULL	SCADA Device	NULL	NULL
0023CC	2009-06-23	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
0023F5	2009-06-23	WILO SE	NULL	SCADA Device	NULL	NULL
00241E	2009-06-23	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
002426	2009-06-23	NOHMI BOSAI LTD.	NULL	SCADA Device	NULL	NULL
002444	2009-06-23	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
0024B7	2009-06-23	GridPoint, Inc.	NULL	SCADA Device	NULL	NULL
0024F3	2009-06-23	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
002557	2009-06-23	Research In Motion	NULL	Smartphone	Blackberry	NULL
0025A0	2009-06-23	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
002659	2009-06-23	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
0026D1	2009-07-11	S Squared Innovations Inc.	NULL	SCADA Device	NULL	NULL
0026EC	2009-07-23	Legrand Home Systems, Inc	NULL	SCADA Device	NULL	NULL
002709	2009-07-29	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
00301A	2000-09-08	SMARTBRIDGES PTE. LTD.	WiFi	Network Interface Card	NULL	NULL
003020	2000-09-08	TSI, Inc..	NULL	SCADA Device	NULL	NULL
00305E	2000-09-08	Abelko Innovation	NULL	SCADA Device	NULL	NULL
003065	2000-09-08	Apple	WiFi	Network Interface Card	NULL	NULL
00306E	2000-09-08	HEWLETT PACKARD	WiFi	Network Interface Card	NULL	NULL
003097	2000-09-08	AB Regin	NULL	SCADA Device	NULL	NULL
0030AB	2000-09-08	DELTA NETWORKS, INC.	WiFi	Network Interface Card	NULL	NULL
0030B7	2000-09-08	Teletrol Systems, Inc.	NULL	SCADA Device	NULL	NULL
0030BD	2000-09-08	BELKIN COMPONENTS	WiFi	Network Interface Card	NULL	NULL
0030C6	2000-09-08	CONTROL SOLUTIONS, INC.	NULL	SCADA Device	NULL	NULL
0030DE	2000-09-08	WAGO Kontakttechnik GmbH	NULL	SCADA Device	NULL	NULL
0030F1	2000-09-08	Accton Technology Corp.	WiFi	Network Interface Card	NULL	NULL
00336C	2010-06-10	SynapSense Corporation	NULL	SCADA Device	NULL	NULL
004001	1998-04-22	Zero One Technology Co. Ltd.	WiFi	Network Interface Card	NULL	NULL
004005	2000-09-08	ANI COMMUNICATIONS INC.	WiFi	Network Interface Card	NULL	NULL
004011	2000-09-08	ANDOVER CONTROLS CORPORATION	NULL	SCADA Device	NULL	NULL
004026	1998-04-22	Buffalo Inc.	WiFi	Network Interface Card	NULL	NULL
004033	1998-04-22	ADDTRON TECHNOLOGY CO., LTD.	WiFi	Network Interface Card	NULL	NULL
004036	2000-09-08	Zoom Telephonics, Inc	WiFi	Network Interface Card	NULL	NULL
004089	2000-09-08	MEIDENSHA CORPORATION	NULL	SCADA Device	NULL	NULL
00408C	1998-04-22	AXIS COMMUNICATIONS AB	NULL	Camera	NULL	NULL
004096	1998-04-22	Cisco Systems	WiFi	Network Interface Card	NULL	NULL
0040AE	1998-04-22	DELTA CONTROLS, INC.	NULL	SCADA Device	NULL	NULL
005006	2000-09-08	TAC AB	NULL	SCADA Device	NULL	NULL
005008	2000-09-08	TIVA MICROCOMPUTER CORP. (TMC)	WiFi	Network Interface Card	NULL	NULL
005018	2000-09-08	AMIT, Inc.	WiFi	Network Interface Card	NULL	NULL
00504E	2000-09-08	SIERRA MONITOR CORP.	NULL	SCADA Device	NULL	NULL
005056	2000-09-08	VMware, Inc.	Virtual	Virtual Computer	VMWare	NULL
